"precip","day"
0.0014112373610466,1
1.03402592806248e-05,2
0.000464350703350395,3
0.00103177138752995,4
0.00241090310522504,5
0.00313695065869794,6
0.00401533950646498,7
0.0012743073785259,8
7.61916044257179e-05,9
0.000154550225589603,10
0.00023036142538146,11
0.000310727605918951,12
0.000311322315493137,13
0.000123075842830129,14
0.000728890667395725,15
0.000405914188704057,16
0.000365129594308995,17
0.00332909862824167,18
0.00223845544320761,19
0.00104277748150178,20
0.00148379303888748,21
0.000278591044263203,22
0.000434316378619972,23
0.000333364716756524,24
0.0013031070747534,25
0.000447139714031302,26
3.77662276222321e-05,27
3.03386612550208e-05,28
0.000112837286025089,29
5.26175918047528e-05,30
0.000840907919637127,31
